,0
85600,0.0
85601,0.0
85602,0.0
85603,0.0
85604,0.0
85605,0.0
85606,0.0
85607,0.0
85608,0.0
85609,0.0
85610,0.0
85611,0.0
85612,0.0
85613,0.0
85614,0.0
85615,0.0
85616,0.0
85617,0.0
85618,0.0
85619,0.0
85620,0.0
85621,0.0
85622,0.0
85623,0.0
85624,39.999999999997726
85625,-25.0
85626,-25.0
85627,-25.0
85628,139.99999999999773
85629,75.0
85630,75.0
85631,75.0
85632,75.0
85633,75.0
85634,75.0
85635,75.0
85636,75.0
85637,75.0
85638,75.0
85639,75.0
85640,75.0
85641,75.0
85642,75.0
85643,75.0
85644,75.0
85645,75.0
85646,75.0
85647,75.0
85648,75.0
85649,75.0
85650,75.0
85651,75.0
85652,75.0
85653,75.0
85654,75.0
85655,75.0
85656,75.0
85657,75.0
85658,75.0
85659,75.0
85660,75.0
85661,75.0
85662,75.0
85663,45.00000000000455
85664,45.00000000000455
85665,45.00000000000455
85666,45.00000000000455
85667,45.00000000000455
85668,45.00000000000455
85669,45.00000000000455
85670,45.00000000000455
85671,45.00000000000455
85672,45.00000000000455
85673,45.00000000000455
85674,45.00000000000455
85675,45.00000000000455
85676,45.00000000000455
85677,45.00000000000455
85678,45.00000000000455
85679,45.00000000000455
85680,45.00000000000455
85681,45.00000000000455
85682,45.00000000000455
85683,45.00000000000455
85684,45.00000000000455
85685,45.00000000000455
85686,45.00000000000455
85687,95.00000000000455
85688,95.00000000000455
85689,95.00000000000455
85690,95.00000000000455
85691,95.00000000000455
85692,95.00000000000455
85693,-94.99999999999318
85694,-125.0
85695,-125.0
85696,-125.0
85697,-125.0
85698,-125.0
85699,-125.0
85700,-125.0
85701,-125.0
85702,-125.0
85703,-125.0
85704,-1319.9999999999932
85705,-1319.9999999999932
85706,-1319.9999999999932
85707,-1344.9999999999932
85708,-1614.9999999999977
85709,-1500.0
85710,-1414.9999999999977
85711,-1344.9999999999932
85712,-1410.0000000000023
85713,-1410.0000000000023
85714,-1410.0000000000023
85715,-1410.0000000000023
85716,-1410.0000000000023
85717,-1410.0000000000023
85718,-1410.0000000000023
85719,-1410.0000000000023
85720,-1410.0000000000023
85721,-1410.0000000000023
85722,-1410.0000000000023
85723,-1410.0000000000023
85724,-1410.0000000000023
85725,-1410.0000000000023
85726,-1410.0000000000023
85727,-1410.0000000000023
85728,-1410.0000000000023
85729,-1410.0000000000023
85730,-1410.0000000000023
85731,-1410.0000000000023
85732,-1410.0000000000023
85733,-1410.0000000000023
85734,-1410.0000000000023
85735,-1410.0000000000023
85736,-1410.0000000000023
85737,-1410.0000000000023
85738,-1410.0000000000023
85739,-1410.0000000000023
85740,-1410.0000000000023
85741,-1410.0000000000023
85742,-1410.0000000000023
85743,-1410.0000000000023
85744,-1410.0000000000023
85745,-1410.0000000000023
85746,-1410.0000000000023
85747,-1410.0000000000023
85748,-1410.0000000000023
85749,-1410.0000000000023
85750,-1410.0000000000023
85751,-1410.0000000000023
85752,-1410.0000000000023
85753,-1410.0000000000023
85754,-1410.0000000000023
85755,-1410.0000000000023
85756,-1410.0000000000023
85757,-1410.0000000000023
85758,-1410.0000000000023
85759,-1410.0000000000023
85760,-1410.0000000000023
85761,-1410.0000000000023
85762,-1410.0000000000023
85763,-1410.0000000000023
85764,-1410.0000000000023
85765,-1410.0000000000023
85766,-1410.0000000000023
85767,-1410.0000000000023
85768,-1410.0000000000023
85769,-1410.0000000000023
85770,-1410.0000000000023
85771,-1410.0000000000023
85772,-1410.0000000000023
85773,-1410.0000000000023
85774,-1410.0000000000023
85775,-1410.0000000000023
85776,-1410.0000000000023
85777,-1410.0000000000023
85778,-1410.0000000000023
85779,-1410.0000000000023
85780,-1710.0000000000023
85781,-1710.0000000000023
85782,-2030.0000000000068
85783,-1965.000000000009
85784,-1965.000000000009
85785,-1965.000000000009
85786,-1965.000000000009
85787,-1965.000000000009
85788,-1965.000000000009
85789,-1965.000000000009
85790,-1965.000000000009
85791,-1965.000000000009
85792,-1965.000000000009
85793,-1965.000000000009
85794,-1965.000000000009
85795,-1965.000000000009
85796,-1965.000000000009
85797,-1965.000000000009
85798,-1965.000000000009
85799,-1965.000000000009
85800,-1965.000000000009
85801,-1965.000000000009
85802,-1965.000000000009
85803,-1965.000000000009
85804,-1965.000000000009
85805,-1965.000000000009
85806,-1965.000000000009
85807,-1965.000000000009
85808,-1965.000000000009
85809,-1965.000000000009
85810,-1965.000000000009
85811,-1965.000000000009
85812,-1965.000000000009
85813,-1965.000000000009
85814,-1965.000000000009
85815,-1965.000000000009
85816,-1965.000000000009
85817,-1965.000000000009
85818,-1965.000000000009
85819,-1965.000000000009
85820,-1965.000000000009
85821,-1965.000000000009
85822,-1965.000000000009
85823,-1965.000000000009
85824,-1965.000000000009
85825,-1965.000000000009
85826,-1965.000000000009
85827,-1965.000000000009
85828,-1965.000000000009
85829,-1965.000000000009
85830,-1965.000000000009
85831,-1965.000000000009
85832,-1965.000000000009
85833,-1965.000000000009
85834,-1965.000000000009
85835,-1965.000000000009
85836,-1965.000000000009
85837,-1965.000000000009
85838,-1965.000000000009
85839,-1965.000000000009
85840,-1965.000000000009
85841,-1965.000000000009
85842,-1965.000000000009
85843,-1965.000000000009
85844,-1965.000000000009
85845,-1965.000000000009
